Status Resp Rx'd 4 bytes, resp 22
Records: 1875, Error: 0
rRead Meas Sent: 0
Rec Id,Meas Inv,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
1,0,43,-217,134,-1,-1,-1
1,0,44,-217,134,-1,-1,-1
2,0,43,-217,134,-1,-1,-1
2,0,43,-217,134,-1,-1,-1
3,0,43,-218,134,-1,-1,-1
3,0,43,-218,135,-1,0,-1
4,0,42,-217,134,-1,-1,-1
4,0,43,-218,134,-1,-1,-1
5,0,43,-218,134,-1,0,-1
5,0,44,-218,134,-1,0,-1
6,0,43,-218,134,-1,-1,-1
6,0,43,-218,134,-1,-1,-1
7,0,44,-218,134,-1,0,-1
7,0,43,-218,134,-1,0,-1
8,0,43,-218,134,-1,0,-1
8,0,44,-218,134,-1,1,-1
9,0,43,-218,134,-1,1,-1
9,0,43,-217,134,-1,0,-1
10,0,43,-217,134,-1,0,-1
10,0,43,-217,134,-1,0,-1
11,0,42,-217,135,-1,-1,-1
11,0,43,-217,135,-1,-1,-1
12,0,43,-218,134,-1,-1,-1
12,0,43,-218,133,-1,-1,-1
13,0,43,-218,134,-1,-1,-1
13,0,43,-218,134,-1,-1,-1
14,0,43,-218,134,-1,-1,-1
14,0,43,-217,134,-1,-1,-1
15,0,42,-217,135,-1,-1,-1
15,0,43,-217,134,-1,-1,-1
16,0,44,-218,134,-1,-1,-1
16,0,42,-218,134,-1,0,-1
17,0,44,-217,134,-1,0,-1
17,0,44,-218,134,-1,0,-1
18,0,43,-217,134,-1,0,-1
18,0,43,-218,134,-1,0,-1
19,0,44,-218,133,-1,0,-1
19,0,43,-217,134,-1,0,-1
20,0,43,-218,134,-1,0,-1
20,0,43,-218,134,-1,-1,-1
21,0,43,-217,134,-1,-1,-1
21,0,43,-217,134,-1,-1,-1
22,0,43,-217,135,-1,-1,-1
22,0,43,-218,134,-1,-1,-1
23,0,42,-218,134,-1,-1,-1
23,0,43,-218,134,-1,-1,-1
24,0,43,-217,134,-1,-1,-1
24,0,43,-218,134,-1,-1,-1
25,0,43,-218,133,-1,-1,-1
25,0,43,-217,134,-1,-1,-1
26,0,43,-217,134,-1,-1,-1
26,0,43,-218,135,-1,0,-1
27,0,43,-218,134,-1,0,-1
27,0,43,-218,134,-1,0,-1
28,0,43,-218,134,-1,0,-1
28,0,43,-218,134,-1,0,-1
29,0,43,-218,133,-1,0,-1
29,0,43,-217,134,-1,0,-1
30,0,42,-218,134,-1,0,-1
30,0,43,-218,134,-1,0,-1
31,0,43,-218,134,-1,-1,-1
31,0,43,-217,134,-1,-1,-1
32,0,43,-218,134,-1,0,-1
32,0,43,-218,134,-1,0,-1
33,0,43,-218,134,-1,0,-1
33,0,43,-217,134,-1,1,-1
34,0,43,-217,134,-1,1,-1
34,0,43,-217,134,-1,0,0
35,0,43,-218,135,-1,0,-1
35,0,42,-218,135,-1,0,-1
36,0,43,-217,134,-1,-1,-1
36,0,43,-217,134,-1,-1,-1
37,0,42,-218,135,-1,-1,-1
37,0,43,-218,134,-1,-1,-1
38,0,43,-217,134,-1,-1,-1
38,0,43,-218,134,-1,-1,-1
39,0,42,-218,134,-1,-1,-1
39,0,43,-217,135,-1,-1,-1
40,0,43,-218,134,-1,-1,-1
40,0,43,-217,134,-1,-1,-1
41,0,43,-218,134,-1,-1,-1
41,0,43,-217,134,-1,-1,-1
42,0,43,-218,134,-1,0,-1
42,0,42,-218,133,-1,0,-1
43,0,43,-217,135,-1,0,-1
43,0,43,-217,134,-1,0,-1
44,0,42,-218,134,-1,0,-1
44,0,43,-217,134,-1,-1,-1
45,0,43,-218,134,-1,0,-1
45,0,42,-218,134,-1,0,-1
46,0,42,-218,134,-1,-1,-1
46,0,43,-218,134,-1,-1,-1
47,0,43,-218,134,-1,-1,-1
47,0,43,-217,134,-1,-1,-1
48,0,43,-218,134,-1,-1,-1
48,0,43,-218,134,-1,-1,-1
49,0,43,-217,134,-1,-1,-1
49,0,43,-218,134,-1,-1,-1
50,0,42,-218,134,-1,0,-1
50,0,42,-218,134,-1,-1,-1
51,0,43,-218,134,-1,-1,-1
51,0,43,-218,134,-1,0,-1
52,0,42,-218,134,-1,-1,-1
52,0,43,-217,134,-1,-1,-1
53,0,43,-217,134,-1,-1,-1
53,0,43,-217,134,-1,-1,-1
54,0,43,-218,134,-1,-1,-1
54,0,43,-218,133,-1,-1,-1
55,0,43,-218,134,-1,-1,-1
55,0,43,-218,134,-1,-1,-1
56,0,43,-218,134,-1,-1,-1
56,0,43,-218,134,-1,-1,-1
57,0,43,-218,133,-1,0,-1
57,0,42,-218,134,-1,-1,-1
58,0,43,-218,134,-1,0,-1
58,0,43,-218,134,-1,1,-1
59,0,43,-217,134,-1,1,-1
59,0,42,-218,134,-1,1,-1
60,0,43,-217,134,-1,0,-1
60,0,42,-218,134,-1,0,-1
61,0,43,-218,134,-1,-1,-1
61,0,42,-218,134,-1,-1,-1
62,0,43,-218,134,-1,-1,-1
62,0,42,-217,134,-1,-1,-1
63,0,44,-217,134,-1,-1,-1
63,0,43,-218,134,-1,-1,-1
64,0,42,-218,134,-1,-1,-1
64,0,43,-218,134,-1,-1,-1
65,0,43,-218,134,-1,-1,-1
65,0,43,-218,134,-1,-1,-1
66,0,43,-218,133,-1,-1,-1
66,0,43,-218,134,-1,-1,-1
67,0,43,-218,134,-1,0,-1
67,0,43,-218,134,-1,0,-1
68,0,43,-218,134,-1,0,-1
68,0,43,-218,133,-1,0,-1
69,0,43,-217,135,-1,0,-1
69,0,43,-218,134,-1,0,-1
70,0,43,-218,135,-1,0,-1
70,0,42,-218,134,-1,0,-1
71,0,43,-218,134,-1,-1,-1
71,0,42,-218,135,-1,-1,-1
72,0,43,-217,135,-1,-1,-1
72,0,43,-218,135,-1,-1,-1
73,0,43,-218,134,-1,-1,-1
73,0,43,-218,134,-1,-1,-1
74,0,43,-218,135,-1,-1,-1
74,0,42,-217,134,-1,-1,-1
75,0,43,-217,133,-1,-1,-1
75,0,43,-218,134,-1,-1,-1
76,0,42,-218,134,-1,-1,-1
76,0,43,-218,135,-1,-1,-1
77,0,43,-218,133,-1,-1,-1
77,0,42,-217,135,-1,-1,-1
78,0,42,-218,134,-1,-1,-1
78,0,43,-218,134,-1,-1,-1
79,0,44,-218,134,-1,-1,-1
79,0,42,-218,134,-1,-1,-1
80,0,43,-218,135,-1,-1,-1
80,0,43,-218,134,-1,-1,-1
81,0,43,-218,134,-1,0,-1
81,0,43,-218,134,-1,0,-1
82,0,43,-218,135,-1,0,-1
82,0,43,-217,134,-1,1,-1
83,0,43,-217,134,-1,0,-1
83,0,43,-218,134,-1,0,-1
84,0,42,-217,134,-1,-1,0
84,0,43,-218,134,-1,-1,-1
85,0,43,-217,135,-1,-1,-1
85,0,42,-218,134,-1,-1,-1
86,0,43,-218,134,-1,-1,-1
86,0,42,-218,134,-1,-1,0
87,0,42,-218,134,-1,-1,0
87,0,43,-217,134,-1,-1,-1
88,0,42,-218,135,-1,-1,-1
88,0,43,-218,134,-1,-1,-1
89,0,42,-218,133,-1,-1,-1
89,0,43,-218,134,-1,-1,-1
90,0,43,-218,134,-1,0,-1
90,0,43,-218,133,-1,0,-1
91,0,42,-218,135,-1,0,-1
91,0,42,-217,134,-1,0,-1
92,0,42,-218,134,-1,0,-1
92,0,42,-217,134,-1,0,-1
93,0,42,-217,134,-1,0,-1
93,0,43,-218,134,-1,0,0
94,0,42,-218,134,-1,0,-1
